internalId,tmdbId,name,originCountry
3700,288,BBC Films,GB
22983,290,Ingenious Media,GB
22984,291,Perdido Prod.,
217797,292,23/5 Filmproduktion,DE
23357,293,Avalon Studios,
23358,294,New Zealand Film Commission,NZ
23359,295,NZ on Air,NZ
23805,296,Filmakademie Baden-Württemberg,DE
23385,297,Aardman Animations,GB
182238,299,Instituto Mexicano de Cinematografía,MX
12623,307,IFC Films,US
10685,308,The Weinstein Company,US
260856,309,Angoa-Agicoa,FR
44712,310,CNC,FR
260857,311,PROCIREP,FR
96177,312,Soficinéma,
960824,313,TS Productions,FR
3362,315,Filmstiftung Nordrhein-Westfalen,DE
24072,316,Wildwood Enterprises,US
138332,317,Istituto Luce Cinecittà,IT
295866,318,CTB Film Company,RU
24326,319,Frenetic Films,
24275,320,Trollhättan Film,SE
1047,321,Memfis Film,SE
311756,322,Sigma Films Ltd.,
129671,324,Flach Film,FR
24348,326,Laura Ziskin Productions,
94472,330,Fanes Film,
201331,332,Die Beauftragte der Bundesregierung für Kultur und Medien,DE
26210,333,Original Film,US
26066,335,Tig Productions,
503432,336,Wiedemann & Berg Film,DE
26790,341,Silent Hill DCP Inc.,
16555,342,Davis Films,FR
357621,344,Mosfilm,SU
94734,345,O2 Filmes,BR
352576,346,Videofilmes,BR
20201,347,Centropolis Entertainment,US
28977,348,Bedford Falls Productions,US
28978,350,Radar Pictures,US
29321,353,Kino Visión,ES
29322,354,Orly Films,FR
13764,355,R.P. Productions,FR
29323,356,TF1 Films Production,FR
29324,357,Vía Digital,ES
29527,358,Noel Gay Motion Picture Company,
29528,359,Figment Films,
29592,360,Geffen Pictures,US
29617,361,Blue Parrot Productions,
25948,364,The Rank Organisation,
29958,365,Nelson Entertainment,
30003,367,Kemp Company,
30004,368,Splendid Pictures,
125894,369,Bungalow 78 Productions,
86531,371,Cecchi Gori Group Tiger Cinematografica,IT
27585,372,Groucho II Film Partnership,
18952,373,Asymmetrical Productions,
29887,374,Lost Highway Productions,
58876,376,Industry Entertainment,
214410,377,Bandeira Entertainment,
21742,379,Truth and Soul Pictures Inc,
30128,380,Thousand Words,US
92413,384,MacDonald/Parkes Productions,
17695,385,Stanley Kubrick Productions,GB
1478774,387,Five Films,IT
1171313,392,Trio,
192789,393,MACT Productions,FR
28457,396,SLM Production Group,US
1392417,398,Egg Films,ZA
453510,401,Brandywine Productions Ltd.,
152189,402,Luna Filmproduktion,
151014,403,Neue Bioskop Film,DE
243233,404,Allegro Film,AT
31770,406,Havoc,
32061,408,Avenue Entertainment,
615,412,Wendy Finerman Productions,
