endNodeInternalId,startNodeInternalId
47,46
49,48
50,48
181,180
49,180
182,180
215,214
225,224
47,224
50,611
612,611
613,611
612,855
612,1037
49,1037
1150,1149
182,1149
1151,1149
1300,1299
1301,1299
181,1299
182,1299
1302,1299
612,1735
613,1735
1300,1775
1301,1775
181,1775
181,2058
49,2058
612,2297
2298,2297
612,2478
2479,2478
613,2478
2500,2499
225,2593
50,2593
47,2593
1302,2680
612,2680
613,2680
1300,2735
1301,2735
181,2735
612,2901
182,2901
49,2901
1302,2975
182,2975
1151,2975
2479,3193
612,3193
49,3328
612,3328
181,3328
182,3357
49,3357
612,3357
50,3392
1302,3392
612,3464
2479,3464
613,3464
612,3572
612,3699
50,3699
2479,3699
612,3755
1300,3923
182,3923
1302,3923
50,4235
1301,4235
1302,4235
612,4325
613,4325
1151,4376
182,4376
1302,4428
612,4428
182,4428
612,4554
613,4554
181,4573
49,4573
182,4573
612,4832
182,4832
1150,4832
1300,4860
181,4860
1300,5006
181,5006
612,5093
2479,5093
613,5093
1300,5227
181,5227
181,5295
50,5295
49,5295
215,5397
181,5409
182,5409
1302,5409
1300,5409
181,5692
50,5692
49,5692
1302,5806
181,5806
1300,5806
181,5840
612,5840
1300,5840
50,6060
49,6060
49,6105
612,6105
181,6105
1300,6177
50,6177
1302,6177
1302,6312
181,6312
1300,6312
182,6312
49,6444
50,6444
181,6577
49,6577
612,6577
613,6684
50,6684
50,6820
49,6820
612,6964
182,6964
49,6964
613,6964
49,7087
612,7087
7088,7087
182,7087
1300,7200
50,7200
47,7200
1301,7200
1300,7422
1301,7422
181,7422
1300,7633
1301,7633
181,7633
1300,7714
1301,7714
181,7714
1300,7740
50,7740
49,7740
613,7780
1301,7780
612,7780
50,7780
1301,7838
612,7838
1151,7838
612,8009
613,8009
613,8131
612,8131
182,8144
181,8144
50,8144
49,8144
612,8144
50,8206
612,8206
613,8206
181,8301
1300,8301
1302,8301
182,8301
612,8333
181,8333
49,8333
182,8333
1302,8531
181,8531
1300,8531
182,8531
182,8554
49,8554
1301,8746
612,8746
613,8746
182,8867
49,8867
1300,9019
50,9019
1302,9019
1302,9121
612,9121
1302,9222
1300,9222
1302,9248
181,9248
182,9248
1150,9347
182,9347
1302,9347
1302,9432
181,9432
1300,9432
182,9432
1302,9449
181,9449
1300,9449
182,9449
1150,9548
1151,9548
49,9548
50,9645
612,9645
181,9680
49,9720
182,9720
181,9892
182,9892
1302,9892
